"transaction_id","store","status","transaction_date","plan","contract_type","amount"
"7fb801a5","Chicago","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"8e8bdb2a","San Francisco","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"239db9b6","Washington DC","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"7ccb13ab","San Francisco","ACTIVE","Mon 04 01 2019 12:00:00 AM","Gold","NEW","19.35"
"c18e82d9","Chicago","ACTIVE","Mon 04 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"75937a51","Las Vegas","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"5324a4a7","Las Vegas","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"1da398fb","New York","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"a42e88a1","San Francisco","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"13d68e09","San Francisco","ACTIVE","Mon 04 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"d46347f0","Chicago","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"cebbe089","Las Vegas","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"e633b9bb","San Francisco","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"4a291f60","Chicago","ACTIVE","Mon 04 01 2019 12:00:00 AM","Gold","NEW","19.35"
"9290d04c","Chicago","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"6facb79f","Chicago","ACTIVE","Mon 04 01 2019 12:00:00 AM","Gold","NEW","19.35"
"cae4a9e6","Chicago","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"47d66270","San Francisco","ACTIVE","Mon 04 01 2019 12:00:00 AM","Gold","NEW","19.35"
"7bd74c7c","New York","ACTIVE","Mon 04 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"14c3f52b","San Francisco","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"c34495f2","New York","ACTIVE","Mon 04 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"0e68641f","New York","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"1c1bef6f","Boston","ACTIVE","Mon 04 01 2019 12:00:00 AM","Gold","NEW","19.35"
"e3544659","New York","ACTIVE","Mon 04 01 2019 12:00:00 AM","Gold","NEW","19.35"
"0a2455e2","Chicago","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"d7802199","Chicago","ACTIVE","Mon 04 01 2019 12:00:00 AM","Gold","NEW","19.35"
"83cbc908","San Francisco","ACTIVE","Mon 04 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"f998ed24","San Francisco","ACTIVE","Mon 04 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"a2db5955","San Francisco","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"12fd97a6","Boston","ACTIVE","Mon 04 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"f33a81d4","Chicago","ACTIVE","Mon 04 01 2019 12:00:00 AM","Gold","NEW","19.35"
"b1c6aeb2","San Francisco","ACTIVE","Mon 04 01 2019 12:00:00 AM","Gold","NEW","19.35"
"1254f3b2","New York","ACTIVE","Mon 04 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"252a4676","New York","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"ffc19bf2","Chicago","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"678ff908","Washington DC","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"ab3794ec","Boston","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
"9e290c85","New York","ACTIVE","Mon 04 01 2019 12:00:00 AM","Silver","NEW","14.25"
