"transaction_id","store","status","transaction_date","plan","contract_type","amount"
"629b9f16","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"2f57ac6c","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"45e063e6","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"6ef3a43a","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"89f0cec1","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"151c076b","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"82bd40ba","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"81f3a751","Washington DC","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"5c09090d","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"089430da","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"b49b6387","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"d019d9e1","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"4a647618","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"ae8a3647","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"39a769a8","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"2b224b1e","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"ee4485a1","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"60f87b6f","Washington DC","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"a6335137","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"dcc45165","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"7905c461","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"8c7edd57","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"#NUM!","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"b0220d31","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"b2bfddb4","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"d4531c93","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"36106279","Boston","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"a1c755cb","Boston","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"28bb81c2","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"b1dc6768","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"5f7e8daa","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"72473ff3","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"e5ef508d","Washington DC","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"cbc6c7a9","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"b2f8288f","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"c932c983","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"b6ce363f","Boston","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"3fcb4fe8","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"ee0264dd","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"37457569","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"a5dc3ab9","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"88b21c84","Washington DC","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"96f52a8c","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"fdd07022","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"71479033","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"f066565d","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"79a9185d","Boston","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"8be34aa1","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"68cc6eac","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"299e6e0f","Washington DC","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"f80d2529","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"e5a1a431","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"50c1ecaf","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"ee6d99ba","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"d532ab1b","Boston","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"16e16bbf","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"7110ef92","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"d3941e6f","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
